Estacao 000571
Inicio 20200916000000
Fim 20200930235000
CH01 Dia do ino (de 10 minutos) de medicao [AAAAMMDD]
CH02 Horario do ino (de 10 minutos) de medicao [hhmmss]
CH03 C intervalo, com "0" indicando medicao sem erro
CH04 Pressao do ar [hPa]: media do intervalo
CH05 Temperatura do ar [C] : media do intervalo
CH06 Umidade relativa do ar [% rel]: media do intervalo
CH07 Anemometro superior (89m), velocidade do vento [m/s]: media do intervalo
CH08 Anemometro superior (89m), velocidade do vento [m/s]: maximo do intervalo
CH09 Anemometro superior (89m), velocidade do vento [m/s]:minimo do intervalo
CH10 Anemometro superior (89m), velocidade do vento [m/s]: desvio padrao do intervalo
CH11 Wind Vane superior (86m), direcao de vento []: media do intervalo
CH12 Wind Vane superior (86m), direcao de vento []: desvio padrao do intervalo
CH13 Anemometro 2 (60m), velocidade do vento [m/s]: media do intervalo
CH14 Anemometro 2 (60m), velocidade do vento [m/s]: maximo do intervalo
CH15 Anemometro 2 (60m), velocidade do vento [m/s]:minimo do intervalo
CH16 Anemometro 2 (60m), velocidade do vento [m/s]: desvio padrao do intervalo
CH17 Wind Vane 2 (30m), direcao de vento []: media do intervalo
CH18 Wind Vane 2 (30m), direcao de vento []: desvio padrao do intervalo
CH19 Anemometro 3 (87,5m), velocidade do vento [m/s]: media do intervalo
CH20 Anemometro 3 (87,5m), velocidade do vento [m/s]: maximo do intervalo
CH21 Anemometro 3 (87,5m), velocidade do vento [m/s]:minimo do intervalo
CH22 Anemometro 3 (87,5m), velocidade do vento [m/s]: desvio padrao do intervalo
CH23 Inexistente
CH24 Inexistente
CH01    |CH02   |CH03 |CH04 |CH05 |CH06 |CH07 |CH08 |CH09 |CH10 |CH11 |CH12 |CH13 |CH14 |CH15 |CH16 |CH17 |CH18 |CH19 |CH20 |CH21 |CH22 |CH23 |CH24 |
dados
20200916| 000000|    0| 1006| 14,7| 91,7| 5,51| 6,44| 4,45| 0,35|   50|    6| 3,64| 4,74| 2,76| 0,39|   43|    8| 5,47| 6,39| 4,41| 0,38|   - |   - |
20200916| 001000|    0| 1006| 14,7| 91,8| 4,66| 5,75| 3,85| 0,33|   43|    6| 3,40| 4,28| 2,44| 0,37|   45|    9| 4,65| 5,70| 3,82| 0,34|   - |   - |
20200916| 002000|    0| 1005| 14,7| 91,8| 5,82| 7,41| 4,13| 0,84|   64|    6| 4,55| 5,94| 3,04| 0,64|   74|    7| 5,81| 7,40| 4,18| 0,84|   - |   - |
20200916| 003000|    0| 1005| 14,7| 91,8| 6,61| 7,27| 5,56| 0,26|   72|    3| 4,65| 5,62| 3,31| 0,46|   78|    5| 6,60| 7,36| 5,61| 0,28|   - |   - |
20200916| 004000|    0| 1005| 14,6| 91,8| 6,34| 7,64| 5,15| 0,53|   72|    5| 4,48| 5,94| 3,17| 0,55|   72|    8| 6,29| 7,63| 5,01| 0,53|   - |   - |
20200916| 005000|    0| 1004| 14,5| 92,1| 8,95|10,59| 6,16| 1,03|   77|    3| 6,65| 8,34| 4,42| 0,77|   79|    5| 8,92|10,63| 6,02| 1,04|   - |   - |
20200916| 010000|    0| 1003| 14,6| 92,3| 9,34|11,28| 7,04| 0,70|   78|    5| 6,36| 8,71| 3,87| 0,88|   78|    7| 9,30|11,14| 7,04| 0,72|   - |   - |
20200916| 011000|    0| 1004| 14,7| 92,5| 9,35|10,96| 6,16| 0,82|   70|    4| 6,38| 8,66| 4,51| 0,84|   67|    6| 9,30|11,04| 6,07| 0,85|   - |   - |
20200916| 012000|    0| 1004| 14,7| 92,5| 7,13| 8,61| 5,84| 0,55|   67|    5| 4,52| 6,45| 3,22| 0,59|   61|    9| 7,10| 8,79| 5,33| 0,57|   - |   - |
20200916| 013000|    0| 1005| 14,7| 92,6| 7,53| 9,44| 5,75| 0,74|   58|    4| 5,06| 7,37| 3,31| 0,71|   50|    6| 7,49| 9,43| 5,66| 0,74|   - |   - |
20200916| 014000|    0| 1005| 14,6| 92,6| 6,53| 7,73| 5,15| 0,48|   60|    4| 4,30| 5,52| 3,08| 0,60|   53|    6| 6,47| 7,82| 5,15| 0,49|   - |   - |
20200916| 015000|    0| 1004| 14,6| 92,8| 6,66| 8,98| 4,87| 0,81|   54|    4| 4,29| 7,09| 2,71| 0,94|   47|    6| 6,60| 8,88| 4,74| 0,83|   - |   - |
20200916| 020000|    0| 1004| 14,6| 93,0| 9,39|10,73| 8,10| 0,54|   54|    1| 6,60| 8,57| 4,00| 0,92|   50|    5| 9,36|10,77| 8,19| 0,55|   - |   - |
20200916| 021000|    0| 1003| 14,6| 93,2|10,16|12,07| 7,68| 0,76|   59|    3| 7,15| 9,44| 5,11| 0,81|   55|    5|10,10|12,29| 7,77| 0,76|   - |   - |
20200916| 022000|    0| 1000| 14,7| 93,5|17,50|22,40| 8,89| 4,21|   69|    3|13,58|20,78| 6,08| 3,74|   68|    5|17,48|22,50| 8,51| 4,25|   - |   - |
